t,temp
1850-01-01,-0.700
1850-02-01,-0.286
1850-03-01,-0.732
1850-04-01,-0.563
1850-05-01,-0.327
1850-06-01,-0.213
1850-07-01,-0.125
1850-08-01,-0.237
1850-09-01,-0.439
1850-10-01,-0.451
1850-11-01,-0.187
1850-12-01,-0.257
1851-01-01,-0.296
1851-02-01,-0.356
1851-03-01,-0.479
1851-04-01,-0.441
1851-05-01,-0.295
1851-06-01,-0.197
1851-07-01,-0.212
1851-08-01,-0.157
1851-09-01,-0.101
1851-10-01,-0.057
1851-11-01,-0.020
1851-12-01,-0.051
1852-01-01,-0.315
1852-02-01,-0.477
1852-03-01,-0.502
1852-04-01,-0.557
1852-05-01,-0.211
1852-06-01,-0.040
1852-07-01,-0.018
1852-08-01,-0.202
1852-09-01,-0.125
1852-10-01,-0.216
1852-11-01,-0.193
1852-12-01,0.073
1853-01-01,-0.182
1853-02-01,-0.327
1853-03-01,-0.309
1853-04-01,-0.355
1853-05-01,-0.268
1853-06-01,-0.175
1853-07-01,-0.059
1853-08-01,-0.148
1853-09-01,-0.404
1853-10-01,-0.362
1853-11-01,-0.255
1853-12-01,-0.437
1854-01-01,-0.365
1854-02-01,-0.282
1854-03-01,-0.286
1854-04-01,-0.353
1854-05-01,-0.233
1854-06-01,-0.219
1854-07-01,-0.227
1854-08-01,-0.167
1854-09-01,-0.119
1854-10-01,-0.192
1854-11-01,-0.367
1854-12-01,-0.233
1855-01-01,-0.169
1855-02-01,-0.401
1855-03-01,-0.306
1855-04-01,-0.223
1855-05-01,-0.338
1855-06-01,-0.167
1855-07-01,-0.271
1855-08-01,-0.163
1855-09-01,-0.336
1855-10-01,-0.217
1855-11-01,-0.214
1855-12-01,-0.518
1856-01-01,-0.122
1856-02-01,-0.376
1856-03-01,-0.528
1856-04-01,-0.380
1856-05-01,-0.129
1856-06-01,-0.291
1856-07-01,-0.304
1856-08-01,-0.309
1856-09-01,-0.461
1856-10-01,-0.391
1856-11-01,-0.608
1856-12-01,-0.449
1857-01-01,-0.513
1857-02-01,-0.345
1857-03-01,-0.434
1857-04-01,-0.649
1857-05-01,-0.570
1857-06-01,-0.310
1857-07-01,-0.541
1857-08-01,-0.329
1857-09-01,-0.393
1857-10-01,-0.474
1857-11-01,-0.668
1857-12-01,-0.358
1858-01-01,-0.528
1858-02-01,-0.708
1858-03-01,-0.548
1858-04-01,-0.512
1858-05-01,-0.653
1858-06-01,-0.582
1858-07-01,-0.329
1858-08-01,-0.278
1858-09-01,-0.332
1858-10-01,-0.211
1858-11-01,-0.643
1858-12-01,-0.304
1859-01-01,-0.308
1859-02-01,-0.189
1859-03-01,-0.327
1859-04-01,-0.195
1859-05-01,-0.307
1859-06-01,-0.248
1859-07-01,-0.274
1859-08-01,-0.100
1859-09-01,-0.565
1859-10-01,-0.249
1859-11-01,-0.315
1859-12-01,-0.363
1860-01-01,-0.181
1860-02-01,-0.426
1860-03-01,-0.642
1860-04-01,-0.332
1860-05-01,-0.293
1860-06-01,-0.309
1860-07-01,-0.109
1860-08-01,-0.182
1860-09-01,-0.217
1860-10-01,-0.195
1860-11-01,-0.515
1860-12-01,-0.762
1861-01-01,-0.893
1861-02-01,-0.508
1861-03-01,-0.464
1861-04-01,-0.386
1861-05-01,-0.768
1861-06-01,-0.189
1861-07-01,-0.221
1861-08-01,-0.094
1861-09-01,-0.330
1861-10-01,-0.362
1861-11-01,-0.417
1861-12-01,-0.247
1862-01-01,-0.742
1862-02-01,-0.780
1862-03-01,-0.403
1862-04-01,-0.240
1862-05-01,-0.225
1862-06-01,-0.336
1862-07-01,-0.344
1862-08-01,-0.700
1862-09-01,-0.420
1862-10-01,-0.420
1862-11-01,-0.766
1862-12-01,-0.887
1863-01-01,0.122
1863-02-01,-0.024
1863-03-01,-0.365
1863-04-01,-0.244
1863-05-01,-0.329
1863-06-01,-0.402
1863-07-01,-0.423
1863-08-01,-0.326
1863-09-01,-0.316
1863-10-01,-0.384
1863-11-01,-0.329
1863-12-01,-0.341
1864-01-01,-0.941
1864-02-01,-0.632
1864-03-01,-0.507
1864-04-01,-0.548
1864-05-01,-0.454
1864-06-01,-0.165
1864-07-01,-0.159
1864-08-01,-0.311
1864-09-01,-0.445
1864-10-01,-0.706
1864-11-01,-0.472
1864-12-01,-0.615
1865-01-01,-0.101
1865-02-01,-0.615
1865-03-01,-0.646
1865-04-01,-0.236
1865-05-01,-0.265
1865-06-01,-0.285
1865-07-01,-0.136
1865-08-01,-0.210
1865-09-01,-0.085
1865-10-01,-0.270
1865-11-01,-0.200
1865-12-01,-0.342
1866-01-01,0.037
1866-02-01,-0.216
1866-03-01,-0.596
1866-04-01,-0.265
1866-05-01,-0.530
1866-06-01,0.098
1866-07-01,0.018
1866-08-01,-0.273
1866-09-01,-0.232
1866-10-01,-0.425
1866-11-01,-0.309
1866-12-01,-0.334
1867-01-01,-0.313
1867-02-01,0.007
1867-03-01,-0.714
1867-04-01,-0.266
1867-05-01,-0.546
1867-06-01,-0.304
1867-07-01,-0.247
1867-08-01,-0.234
1867-09-01,-0.103
1867-10-01,-0.186
1867-11-01,-0.314
1867-12-01,-0.628
1868-01-01,-0.700
1868-02-01,-0.471
1868-03-01,-0.079
1868-04-01,-0.381
1868-05-01,-0.077
1868-06-01,-0.178
1868-07-01,0.138
1868-08-01,-0.041
1868-09-01,-0.202
1868-10-01,-0.238
1868-11-01,-0.505
1868-12-01,-0.131
1869-01-01,-0.249
1869-02-01,0.258
1869-03-01,-0.591
1869-04-01,-0.221
1869-05-01,-0.281
1869-06-01,-0.376
1869-07-01,-0.293
1869-08-01,-0.084
1869-09-01,-0.196
1869-10-01,-0.417
1869-11-01,-0.371
1869-12-01,-0.358
1870-01-01,-0.082
1870-02-01,-0.453
1870-03-01,-0.400
1870-04-01,-0.206
1870-05-01,-0.168
1870-06-01,-0.216
1870-07-01,0.018
1870-08-01,-0.259
1870-09-01,-0.264
1870-10-01,-0.403
1870-11-01,-0.170
1870-12-01,-0.720
1871-01-01,-0.528
1871-02-01,-0.548
1871-03-01,0.003
1871-04-01,-0.139
1871-05-01,-0.309
1871-06-01,-0.222
1871-07-01,-0.013
1871-08-01,-0.221
1871-09-01,-0.453
1871-10-01,-0.480
1871-11-01,-0.538
1871-12-01,-0.561
1872-01-01,-0.310
1872-02-01,-0.405
1872-03-01,-0.470
1872-04-01,-0.150
1872-05-01,-0.041
1872-06-01,-0.205
1872-07-01,-0.113
1872-08-01,-0.027
1872-09-01,-0.128
1872-10-01,-0.227
1872-11-01,-0.244
1872-12-01,-0.426
1873-01-01,-0.030
1873-02-01,-0.344
1873-03-01,-0.290
1873-04-01,-0.524
1873-05-01,-0.412
1873-06-01,-0.257
1873-07-01,-0.150
1873-08-01,-0.159
1873-09-01,-0.355
1873-10-01,-0.401
1873-11-01,-0.464
1873-12-01,-0.272
1874-01-01,0.063
1874-02-01,-0.435
1874-03-01,-0.556
1874-04-01,-0.504
1874-05-01,-0.467
1874-06-01,-0.457
1874-07-01,-0.169
1874-08-01,-0.363
1874-09-01,-0.204
1874-10-01,-0.433
1874-11-01,-0.501
1874-12-01,-0.404
1875-01-01,-0.571
1875-02-01,-0.597
1875-03-01,-0.597
1875-04-01,-0.466
1875-05-01,-0.175
1875-06-01,-0.233
1875-07-01,-0.299
1875-08-01,-0.180
1875-09-01,-0.268
1875-10-01,-0.363
1875-11-01,-0.503
1875-12-01,-0.506
1876-01-01,-0.315
1876-02-01,-0.279
1876-03-01,-0.388
1876-04-01,-0.298
1876-05-01,-0.533
1876-06-01,-0.282
1876-07-01,-0.137
1876-08-01,-0.248
1876-09-01,-0.436
1876-10-01,-0.388
1876-11-01,-0.586
1876-12-01,-0.716
1877-01-01,-0.327
1877-02-01,0.049
1877-03-01,-0.280
1877-04-01,-0.321
1877-05-01,-0.454
1877-06-01,-0.092
1877-07-01,0.013
1877-08-01,0.147
1877-09-01,0.028
1877-10-01,0.062
1877-11-01,0.096
1877-12-01,0.170
1878-01-01,0.174
1878-02-01,0.403
1878-03-01,0.343
1878-04-01,0.319
1878-05-01,-0.082
1878-06-01,0.019
1878-07-01,-0.049
1878-08-01,-0.023
1878-09-01,0.017
1878-10-01,-0.122
1878-11-01,-0.200
1878-12-01,-0.356
1879-01-01,-0.193
1879-02-01,-0.149
1879-03-01,-0.094
1879-04-01,-0.214
1879-05-01,-0.212
1879-06-01,-0.270
1879-07-01,-0.230
1879-08-01,-0.167
1879-09-01,-0.215
1879-10-01,-0.122
1879-11-01,-0.390
1879-12-01,-0.515
1880-01-01,-0.067
1880-02-01,-0.173
1880-03-01,-0.104
1880-04-01,-0.150
1880-05-01,-0.244
1880-06-01,-0.307
1880-07-01,-0.247
1880-08-01,-0.116
1880-09-01,-0.235
1880-10-01,-0.386
1880-11-01,-0.408
1880-12-01,-0.294
1881-01-01,-0.353
1881-02-01,-0.234
1881-03-01,-0.181
1881-04-01,-0.131
1881-05-01,-0.030
1881-06-01,-0.230
1881-07-01,-0.148
1881-08-01,-0.123
1881-09-01,-0.240
1881-10-01,-0.275
1881-11-01,-0.334
1881-12-01,-0.130
1882-01-01,0.125
1882-02-01,-0.008
1882-03-01,-0.051
1882-04-01,-0.283
1882-05-01,-0.372
1882-06-01,-0.315
1882-07-01,-0.187
1882-08-01,-0.221
1882-09-01,-0.156
1882-10-01,-0.329
1882-11-01,-0.312
1882-12-01,-0.471
1883-01-01,-0.400
