t,rainfall
1875-01-01,122.8
1875-02-01,46.5
1875-03-01,27.2
1875-04-01,39.1
1875-05-01,52.0
1875-06-01,92.8
1875-07-01,142.7
1875-08-01,67.5
1875-09-01,96.2
1875-10-01,157.3
1875-11-01,145.6
1875-12-01,47.5
1876-01-01,47.1
1876-02-01,97.7
1876-03-01,99.4
1876-04-01,84.7
1876-05-01,23.6
1876-06-01,55.6
1876-07-01,47.2
1876-08-01,83.5
1876-09-01,141.5
1876-10-01,74.4
1876-11-01,108.4
1876-12-01,193.9
1877-01-01,146.8
1877-02-01,77.6
1877-03-01,76.3
1877-04-01,93.6
1877-05-01,79.5
1877-06-01,46.3
1877-07-01,108.5
1877-08-01,136.1
1877-09-01,74.3
1877-10-01,86.0
1877-11-01,141.5
1877-12-01,77.6
1878-01-01,68.4
1878-02-01,50.6
1878-03-01,38.7
1878-04-01,69.2
1878-05-01,117.6
1878-06-01,76.4
1878-07-01,39.3
1878-08-01,155.2
1878-09-01,72.6
1878-10-01,104.4
1878-11-01,118.0
1878-12-01,73.1
1879-01-01,71.5
1879-02-01,105.4
1879-03-01,36.9
1879-04-01,72.4
1879-05-01,81.4
1879-06-01,139.3
1879-07-01,121.4
1879-08-01,148.5
1879-09-01,89.7
1879-10-01,41.0
1879-11-01,37.3
1879-12-01,38.1
1880-01-01,16.2
1880-02-01,84.1
1880-03-01,52.1
1880-04-01,56.4
1880-05-01,38.6
1880-06-01,81.3
1880-07-01,157.5
1880-08-01,40.1
1880-09-01,119.8
1880-10-01,161.4
1880-11-01,97.9
1880-12-01,122.8
1881-01-01,35.5
1881-02-01,109.9
1881-03-01,81.9
1881-04-01,34.2
1881-05-01,53.1
1881-06-01,68.9
1881-07-01,75.3
1881-08-01,143.7
1881-09-01,73.0
1881-10-01,82.0
1881-11-01,105.9
1881-12-01,103.3
1882-01-01,68.9
1882-02-01,62.5
1882-03-01,52.4
1882-04-01,114.0
1882-05-01,50.3
1882-06-01,104.7
1882-07-01,113.1
1882-08-01,85.0
1882-09-01,75.8
1882-10-01,162.6
1882-11-01,131.4
1882-12-01,125.5
1883-01-01,98.5
1883-02-01,107.7
1883-03-01,37.7
1883-04-01,45.4
1883-05-01,49.3
1883-06-01,85.2
1883-07-01,96.7
1883-08-01,46.4
1883-09-01,140.8
1883-10-01,97.0
1883-11-01,117.7
1883-12-01,52.0
1884-01-01,108.7
1884-02-01,70.7
1884-03-01,66.4
1884-04-01,47.2
1884-05-01,39.1
1884-06-01,41.3
1884-07-01,97.5
1884-08-01,47.7
1884-09-01,66.4
1884-10-01,51.8
1884-11-01,51.2
1884-12-01,103.5
1885-01-01,68.3
1885-02-01,93.1
1885-03-01,49.5
1885-04-01,63.2
1885-05-01,80.1
1885-06-01,62.5
1885-07-01,24.5
1885-08-01,61.2
1885-09-01,127.1
1885-10-01,147.6
1885-11-01,98.5
1885-12-01,42.0
1886-01-01,120.2
1886-02-01,29.5
1886-03-01,77.6
1886-04-01,59.0
1886-05-01,123.1
1886-06-01,31.9
1886-07-01,105.3
1886-08-01,52.2
1886-09-01,72.1
1886-10-01,135.6
1886-11-01,99.4
1886-12-01,145.2
1887-01-01,71.8
1887-02-01,24.1
1887-03-01,49.8
1887-04-01,36.6
1887-05-01,54.0
